ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,region,notes
131546,Joanne Woods,F,32.0,165.0,58.0,Canada,CAN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, Slalom",,Canada,
60531,"Daniel ""Danny"" Kingston",M,23.0,178.0,71.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Lightweight,,UK,
74372,Bertalan Mandzk,M,22.0,173.0,82.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Light-Heavyweight,,Hungary,
12339,Janne Mikael Blomqvist,M,20.0,190.0,81.5,Finland,FIN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Freestyle,,Finland,
64845,Serhiy Volodymyrovych Kulish,M,23.0,176.0,64.0,Ukraine,UKR,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",Silver,Ukraine,
47474,"Robert Douglas ""Rob"" Hellstrom",M,22.0,197.0,96.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,,New Zealand,
28828,"Michael ""Mike"" Dixon",M,29.0,168.0,64.0,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Biathlon,Biathlon Men's 20 kilometres,,UK,
11211,Vudthi Bhirombhakdi,M,50.0,168.0,57.0,Thailand,THA,1984 Summer,1984,Summer,Los Angeles,Shooting,Shooting Mixed Trap,,Thailand,
3443,Vladislav Viktorovich Aminov,M,23.0,191.0,82.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,Russia,
2883,Julio Antolin Alles,M,23.0,,,Argentina,ARG,1924 Summer,1924,Summer,Paris,Rowing,Rowing Men's Coxed Eights,,Argentina,
14252,"Kate Elizabeth ""Katie"" Bowen-Duncan",F,22.0,172.0,56.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,,New Zealand,
24058,Rolando Cruz,M,20.0,180.0,68.0,Puerto Rico,PUR,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's Pole Vault,,Puerto Rico,
82189,Lisa Moro,F,15.0,138.0,33.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,,Australia,
32187,Abdelrahman Yahia Abdulsalam Muhammad El-Trabily,M,22.0,190.0,120.0,Egypt,EGY,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,Egypt,
113190,Roselore Sonntag (Stbe-),F,26.0,165.0,51.0,Germany,GER,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Women's Floor Exercise,,Germany,
105728,Nuno Francisco Puidival Saraiva,M,22.0,177.0,76.0,Portugal,POR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Lightweight,,Portugal,
110378,Jel Kristinn Sigursson,M,23.0,,,Iceland,ISL,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Javelin Throw,,Iceland,
38051,Divina Mary Galica,F,27.0,172.0,60.0,Great Britain,GBR,1972 Winter,1972,Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Downhill,,UK,
6613,Nils Backstrom,M,34.0,,,United States,USA,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,,USA,
99077,Valentyna Ksenofontivna Rastvorova (-Hrishyna),F,31.0,167.0,60.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Individual",,Russia,
61743,Alexander Koch,M,25.0,190.0,86.0,Switzerland,SUI,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,,Switzerland,
133996,Paul Anthony Zar,M,26.0,180.0,86.0,United States Virgin Islands,ISV,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,,"Virgin Islands, US",Virgin Islands
99777,Stefania Reindl,F,30.0,156.0,50.0,Poland,POL,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,,Poland,
10532,Monika Bergmann-Schmuderer,F,23.0,176.0,74.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Slalom,,Germany,
67298,Ivan Lawler,M,29.0,180.0,80.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",,UK,
130456,Villiam August Wilkenschildt,M,33.0,,,Denmark,DEN,1906 Summer,1906,Summer,Athina,Fencing,"Fencing Men's epee, Individual",,Denmark,
13447,Claes Arne Borg,M,18.0,,,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,,Sweden,
85860,George Nicol,M,25.0,,,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,UK,
77992,Adrian Meagher,M,41.0,185.0,90.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,,Australia,
9419,Holger Behrendt,M,24.0,161.0,60.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Rings,Gold,Germany,
48202,Kathleen Elizabeth Hersey,F,18.0,180.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Butterfly,,USA,
23858,Alexandra Lindsay Croak,F,16.0,165.0,55.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Uneven Bars,,Australia,
114909,Ole Stenen,M,28.0,170.0,,Norway,NOR,1932 Winter,1932,Winter,Lake Placid,Nordic Combined,Nordic Combined Men's Individual,Silver,Norway,
6905,Ryan Bailey,M,23.0,193.0,82.0,United States,USA,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 100 metres,,USA,
18774,Francisco Cascante Coba,M,24.0,,,Cuba,CUB,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,,Cuba,
102704,Norman DeMille Ross,M,23.0,188.0,,United States,USA,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 100 metres Freestyle,,USA,
64873,Ichiya Kumagae,M,29.0,162.0,59.0,Japan,JPN,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Singles,Silver,Japan,
24498,Jan Cych,M,24.0,172.0,65.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 3,000 metres Steeplechase",,Poland,
71815,Larissa Lowing (-Libby),F,15.0,142.0,36.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Horse Vault,,Canada,
55732,Sharon Jones (-Barker),F,23.0,150.0,47.0,Great Britain,GBR,1988 Winter,1988,Winter,Calgary,Figure Skating,Figure Skating Mixed Ice Dancing,,UK,
846,Valerie Kasanita Adams-Vili (-Price),F,23.0,193.0,120.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold,New Zealand,
30230,Leonel Barata Duarte,M,19.0,158.0,52.0,Portugal,POR,1968 Summer,1968,Summer,Mexico City,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",,Portugal,
117541,"Istvn Szivs, Jr.",M,20.0,202.0,106.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Water Polo,Water Polo Men's Water Polo,Bronze,Hungary,
8452,Fabio Basile,M,21.0,160.0,66.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Gold,Italy,
59500,Muhammad Khurram,M,,,,Pakistan,PAK,1948 Summer,1948,Summer,London,Hockey,Hockey Men's Hockey,,Pakistan,
65496,Felix Kwieton,M,34.0,,,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Marathon,,Austria,
128534,Wang Minhui,M,27.0,184.0,78.0,China,CHN,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,,China,
127728,Tuija Mirjam Inkeri Vuoksiala (Oksanen-),F,32.0,170.0,55.0,Finland,FIN,1994 Winter,1994,Winter,Lillehammer,Biathlon,Biathlon Women's 15 kilometres,,Finland,
111334,Sergio Emmerico Siorpaes,M,29.0,178.0,84.0,Italy-2,ITA,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Bronze,Italy,
74910,Florent Maree,M,23.0,167.0,60.0,France,FRA,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horse Vault,,France,
5654,Brian Aspen,M,21.0,168.0,57.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",,UK,
13673,Vladimir Bortsov,M,27.0,180.0,81.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's Sprint,,Kazakhstan,
80146,"Margaret ""Meg"" Miners",F,16.0,156.0,51.0,Zimbabwe,ZIM,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,,Zimbabwe,
130205,"Gerard ""Gerry"" Wiedel",M,35.0,178.0,79.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Fencing,"Fencing Men's epee, Individual",,Canada,
75610,Mnica Martn Cid,F,20.0,160.0,48.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,,Spain,
74228,Dmitry Vladimirovich Malyshko,M,26.0,184.0,77.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Gold,Russia,
72081,Sanna Ldi,F,23.0,173.0,63.0,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Freestyle Skiing,Freestyle Skiing Women's Ski Cross,,Switzerland,
104655,Jhon Salazar,M,23.0,160.0,60.0,Colombia,COL,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Featherweight,,Colombia,
110773,Gilles Simon,M,27.0,183.0,69.0,France,FRA,2012 Summer,2012,Summer,London,Tennis,Tennis Men's Singles,,France,
135016,Robert Montague Zimmerman,M,26.0,,,Canada,CAN,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,,Canada,
53720,"Maximilien Gustave Berthold Marie ""Max"" Janlet",M,,,,Belgium,BEL,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",,Belgium,
54040,Milla Marika Jauho,F,22.0,165.0,53.0,Finland,FIN,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,,Finland,
21572,Marius Cihrean,M,20.0,,63.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Featherweight,,Romania,
90353,Yusuf ztrk,M,22.0,184.0,81.0,Turkey,TUR,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Heavyweight,,Turkey,
34203,Tnia Mara Fassoni-Giansante (-Pilhalarme),F,32.0,162.0,60.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Women's Sporting Pistol, 25 metres",,Brazil,
76062,Agustn Masaa Daz,M,22.0,174.0,76.0,Spain,ESP,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,,Spain,
13535,Zsolt Borkai,M,23.0,175.0,68.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Parallel Bars,,Hungary,
89255,Charity Opara (-Asonze),F,28.0,170.0,60.0,Nigeria,NGR,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 400 metres,,Nigeria,
57252,Marijan Kanjer,M,26.0,196.0,96.0,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,Croatia,
418,Karl Konrad berg,M,22.0,,,Finland,FIN,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman",,Finland,
63863,"Irmgard ""Irmi"" Krauser",F,20.0,164.0,51.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,,Germany,
116881,Ji vec,M,24.0,162.0,57.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",,Czech Republic,
135067,Mara Zini,F,22.0,169.0,53.0,Italy,ITA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",,Italy,
18133,Jess Carballo Martnez,M,27.0,173.0,70.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,,Spain,
27232,Jocelyn Delecour,M,25.0,175.0,67.0,France,FRA,1960 Summer,1960,Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,,France,
74892,Tomasz Krzysztof Marczyski,M,24.0,180.0,65.0,Poland,POL,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual",,Poland,
88434,Masumi Okawa,F,17.0,146.0,40.0,Japan,JPN,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Horse Vault,,Japan,
79855,Ian Millar,M,25.0,185.0,76.0,Canada,CAN,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Jumping, Team",,Canada,
26429,Angelo De Martini,M,27.0,,,Italy,ITA,1924 Summer,1924,Summer,Paris,Cycling,Cycling Men's 50 kilometres,,Italy,
30149,Elva Dryer (Martinez-),F,28.0,165.0,51.0,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 5,000 metres",,USA,
33883,Rudolf Axel Andreas Falk,M,22.0,,,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 5,000 metres",,Sweden,
58245,Tauno Olavi Kyhk,M,29.0,178.0,73.0,Canada,CAN,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",,Canada,
114216,"Josef ""Sepp"" Stalder",M,29.0,,,Switzerland,SUI,1948 Summer,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver,Switzerland,
18078,Sergio Caprari,M,20.0,,,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Featherweight,Silver,Italy,
135252,Branko Zorko,M,29.0,180.0,74.0,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",,Croatia,
75615,Osmani Martn Hernndez,M,31.0,180.0,70.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,,Cuba,
53277,Abbas Jadidi,M,27.0,185.0,99.0,Iran,IRI,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Iran,
73213,"Antony Morgan ""Tony"" Madigan",M,26.0,185.0,80.0,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Boxing,Boxing Men's Light-Heavyweight,,Australia,
88364,Jaime Enrique Ojeda Paredes,M,28.0,169.0,56.0,Chile,CHI,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Marathon,,Chile,
33397,Wilhelm Etzenberger,M,,,66.0,Austria,AUT,1924 Summer,1924,Summer,Paris,Weightlifting,Weightlifting Men's Lightweight,,Austria,
61703,Jan Kobin,M,35.0,186.0,102.0,Czech Republic-2,CZE,2006 Winter,2006,Winter,Torino,Bobsleigh,Bobsleigh Men's Two,,Czech Republic,
12698,Arnaud Benjamin Boetsch,M,27.0,183.0,76.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Men's Doubles,,France,
22914,Aisling Margaret Cooney,F,18.0,171.0,65.0,Ireland,IRL,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Backstroke,,Ireland,
49290,Peter Hol,M,25.0,,,Norway,NOR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver,Norway,
127851,Mary Wagaki,F,30.0,,,Kenya,KEN,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon,,Kenya,
72063,David James Luckes,M,28.0,185.0,83.0,Great Britain,GBR,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,,UK,
106765,Sarah Scherer,F,21.0,173.0,62.0,United States,USA,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Air Rifle, 10 metres",,USA,
125888,Franco Venturini,M,17.0,160.0,48.0,Italy,ITA,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Pairs,,Italy,
36316,Hans Henrik Forsberg,M,26.0,188.0,83.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,,Sweden,
111581,Erwin Richard Skamrahl,M,26.0,178.0,67.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's 400 metres,,Germany,
74745,Davor Marceli,M,27.0,200.0,89.0,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,,Croatia,
19756,Chang Hao,M,21.0,173.0,72.0,Chinese Taipei,TPE,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Windsurfer,,Taiwan,
11133,Gerhard Beyer,M,43.0,173.0,80.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",,Germany,
126148,Pierre Marie Robert Versteegh,M,39.0,,,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze,Netherlands,
37746,Artur Fyodorov,M,25.0,164.0,65.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Freestyle",,Kazakhstan,
32106,Samir El-Najjar,M,24.0,,60.0,Syria,SYR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Extra-Lightweight,,Syria,
9095,"Lillian ""Lily"" De Beaurepaire (-Clarke)",F,26.0,,,Australia,AUS,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Women's Plain High,,Australia,
8476,Valma Bass,F,26.0,168.0,65.0,Saint Kitts and Nevis,SKN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 100 metres,,Saint Kitts,Turks and Caicos Islands
10131,Max Benker,M,27.0,168.0,69.0,Switzerland,SUI,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Men's Individual All-Around,,Switzerland,
105444,Stefan Bellore Sangala,F,21.0,165.0,58.0,Congo (Brazzaville),CGO,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,,Republic of Congo,
118028,Koji Takei,M,26.0,176.0,78.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,,Japan,
56548,Marcin Kaczmarek,M,23.0,180.0,73.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,,Poland,
94283,Sigurjn Ptursson,M,24.0,,,Iceland,ISL,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",,Iceland,
97885,Oswaldo Jos Quevedo Boschetti,M,24.0,190.0,90.0,Venezuela,VEN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,,Venezuela,
43062,Patrick Groc,M,31.0,183.0,78.0,France,FRA,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Foil, Individual",,France,
67601,Ernest Edward Leatherland,M,29.0,,,Great Britain,GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's Marathon,,UK,
78150,Maurice E. Megennis,M,22.0,,58.0,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Weightlifting,Weightlifting Men's Bantamweight,,UK,
63227,Ji Kotr,M,28.0,188.0,90.0,Czechoslovakia,TCH,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,,Czech Republic,
53088,Alexandra Elizabeth Jackson,F,16.0,175.0,69.0,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,,UK,
66305,Dominik Landertinger,M,26.0,188.0,75.0,Austria,AUT,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 15 kilometres Mass Start,,Austria,
113167,Kimaru Songok,M,,178.0,64.0,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,,Kenya,
84362,Takuya Nakase,M,25.0,165.0,64.0,Japan,JPN,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Rings,,Japan,
114126,Rajmund Leszek Stachurski,M,37.0,175.0,79.0,Poland,POL,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Free Pistol, 50 metres",,Poland,
62997,Oleh Yuriyovych Kosiak,M,20.0,,,Ukraine,UKR,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Men's Floor Exercise,,Ukraine,
70424,Robert Lips,M,35.0,,,Switzerland,SUI,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Painting, Paintings",,Switzerland,
113677,Metka Sparavec (-Fain),F,17.0,181.0,60.0,Slovenia,SLO,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 50 metres Freestyle,,Slovenia,
49052,Lszl Hdi (Hoffmann),M,24.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Diving,Diving Men's Springboard,,Hungary,
84636,Zakia Nassar,F,21.0,162.0,60.0,Palestine,PLE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 50 metres Freestyle,,Palestine,
90094,Mariama Ouiminga,F,18.0,165.0,60.0,Burkina Faso,BUR,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 100 metres,,Burkina Faso,
26212,Sidney de Jong,M,29.0,186.0,91.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,,Netherlands,
11568,Mohamed Bin Abid,M,23.0,168.0,67.0,United Arab Emirates,UAE,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,United Arab Emirates,
60273,Kim Su-Myeon,M,25.0,165.0,57.0,South Korea,KOR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Rings,,South Korea,
120453,Andr Tintant,M,,,,France,FRA,1900 Summer,1900,Summer,Paris,Fencing,"Fencing Men's epee, Individual",,France,
26122,Ferdinando De Giorgi,M,26.0,178.0,70.0,Italy,ITA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Men's Volleyball,,Italy,
123667,Ambroise Uwiragiye,M,35.0,,,Rwanda,RWA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,Rwanda,
50571,Hu Ni,F,23.0,170.0,52.0,China,CHN,2004 Summer,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,,China,
118030,Masao Takemoto,M,37.0,160.0,56.0,Japan,JPN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Gymnastics Men's Floor Exercise,,Japan,
54981,Jo Jae-Hyeon,M,22.0,171.0,67.0,South Korea,KOR,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Road Race, Individual",,South Korea,
124404,Gijsbert van der Leden,M,25.0,183.0,80.0,Netherlands,NED,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,,Netherlands,
23712,Holly Crawford,F,22.0,173.0,63.0,Australia,AUS,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Halfpipe,,Australia,
96036,Ashwini Ponnappa,F,22.0,165.0,59.0,India,IND,2012 Summer,2012,Summer,London,Badminton,Badminton Women's Doubles,,India,
48053,"Mara de la Paz ""Maripi"" Hernndez Margalot",F,31.0,163.0,57.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze,Argentina,
86347,Jeanette Nilsen,F,28.0,181.0,78.0,Norway,NOR,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Bronze,Norway,
42103,Manuel Robalo Gouveia,M,29.0,,,Portugal,POR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,,Portugal,
101931,"Matthew Dylan ""Matt"" Rogelstad",M,25.0,190.0,91.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,,Canada,
30874,Agnes Dusart,F,26.0,167.0,54.0,Belgium,BEL,1988 Summer,1988,Summer,Seoul,Cycling,"Cycling Women's Road Race, Individual",,Belgium,
127917,"Catharina Wilhelmina ""Tini"" Wagner (-Boekhorst)",F,16.0,,,Netherlands,NED,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,Netherlands,
129791,Peter Jonathan Westbrook,M,44.0,175.0,73.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Sabre, Team",,USA,
106265,Vitaly Anatolyevich Savin,M,26.0,184.0,95.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 100 metres,,Russia,
22355,Michelle Elizabeth Coleman,F,18.0,186.0,74.0,Sweden,SWE,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 100 metres Medley Relay,,Sweden,
70362,Fernand Joseph Linssen,M,23.0,,,Belgium,BEL,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,,Belgium,
14486,Carlos E. Braconi,M,28.0,186.0,124.0,Argentina,ARG,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",,Argentina,
23643,"Robert Lewis ""Rob"" Cragg, Jr.",M,22.0,186.0,82.0,United States,USA,1976 Summer,1976,Summer,Montreal,Diving,Diving Men's Springboard,,USA,
77920,Craig Albert McNicoll,M,20.0,168.0,65.0,Great Britain,GBR,1992 Winter,1992,Winter,Albertville,Speed Skating,"Speed Skating Men's 1,000 metres",,UK,
62546,Gottlieb Konrsson,M,22.0,178.0,76.0,Iceland,ISL,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,,Iceland,
100689,Ivan Rieder,M,29.0,180.0,69.0,Switzerland,SUI,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Individual,,Switzerland,
87251,Jos Nozari Espinoza,M,,,,Mexico,MEX,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",,Mexico,
58894,Ajna Evelin Ksely,F,14.0,165.0,54.0,Hungary,HUN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,,Hungary,
79881,Cody Miller,M,24.0,180.0,80.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,USA,
49117,Paul Hoffman,M,28.0,178.0,73.0,Swaziland,SWZ,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middleweight,,Swaziland,
78456,Ioannis Melissanidis,M,23.0,172.0,59.0,Greece,GRE,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Horse Vault,,Greece,
